姓名,机构,省市,领域,地址
"陈建峰',",北京化工大学,北京市,海洋能源,北京市朝阳区北三环东路15号
"邓运华',",中国海洋石油总公司,北京市,石油勘探技术,北京市东城区朝阳门北大街25号
"丁一汇',",国家气象中心,北京市,海洋预报,暂无
"姜景山',",中国科学院微波遥感技术重点实验室,北京市,遥感,北京市海淀区中关村南二条一号　
"蒋兴伟',",国家卫星海洋应用中心,北京市,卫星遥感,北京海淀大慧寺八号
"周守为',",中国海洋石油总公司,北京市,海洋石油,北京市东城区朝阳门北大街25号
"蔡怡',",国家海洋环境预报中心,北京市,海洋气候预测,北京海淀大慧寺八号
"陈峰',",北京大学,北京市,微藻生物技术,北京市海淀区颐和园路5号
"陈书海',",中国船舶重工集团公司第七一四研究所,北京市,船体,北京市科荟路55号院1号楼
"陈新华',",中国科学院声学研究所,北京市,水声工程,北京市海淀区北四环西路21号
"陈幸荣',",国家海洋环境预报中心,北京市,大尺度海气相互作用,北京海淀大慧寺八号
"陈永顺',",北京大学,北京市,海洋地球物理学,北京市海淀区颐和园路5号
"党福星',",中国国土资源航空物探遥感中心,北京市,军事气象水文,北京市海淀区学院路31号航空物探遥感中心
"董剑希',",国家海洋环境预报中心,北京市,风暴潮预报与研究,北京市海淀区大慧寺8号
"杜云燕',",中科院地理所,北京市,水声工程,北京市朝阳区大屯路甲11号
"方念乔',",中国矿业大学(北京),北京市,海底构造与海洋地球物理,北京市海淀区学院路丁11号
"冯师军',",中国科学院声学研究所,北京市,信号与信息处理,北京市海淀区北四环西路21号
"高鹏',",中国科学院声学研究所,北京市,水声工程,北京市海淀区北四环西路21号
"高之国',",自然资源部海洋发展战略研究所,北京市,海洋法律,暂无
"郭良浩',",中国科学院声学研究所,北京市,水声工程,北京市海淀区北四环西路21号
"郝春江',",国家海洋环境预报中心,北京市,数据管理及作业流程管理,北京海淀大慧寺八号
"郝天珧',",中国科学院地质与地球物理研究所,北京市,水声工程,北京市朝阳区北土城西路19号
"胡敏',",北京大学,北京市,海洋地质环境,北京市海淀区颐和园路5号
"黄海宁',",中国科学院声学研究所,北京市,声学工程,北京市海淀区北四环西路21号
"黄进',",中国标准化研究院,北京市,标准化研究,北京市海淀区知春路4号
"黄勇',",中国科学院声学研究所,北京市,信号处理,北京市海淀区北四环西路21号
"黄占斌',",中国矿业大学(北京),北京市,生态学与环境生物技术,北京市海淀区学院路丁11号
"贾宇',",自然资源部海洋发展战略研究所,北京市,海洋法律,北京市丰台区马官营家园三号　
"姜家俊',",中海油新能源投资有限公司,北京市,暂无,北京市朝阳区酒仙桥路乙21号国宾大厦16A室
"金灿荣',",中国人民大学,北京市,海洋管理,暂无
"兰友昌',",国家海洋环境预报中心,北京市,物理海洋，海洋水文,北京海淀大慧寺八号
"李宝辉',",国家海洋环境预报中心,北京市,物理海洋，海洋水文,北京海淀大慧寺八号
"李本霞',",国家海洋环境预报中心,北京市,海浪预报及预报技术研究,北京海淀大慧寺八号
"李程',",中航工业北京长城计量测试技术研究所,北京市,计量检测,北京市海淀区航材大道环山村108号
"李春花',",国家海洋环境预报中心,北京市,海冰预报与研究,北京海淀大慧寺八号
"李法新',",北京大学,北京市,海洋地球物理学,北京市海淀区颐和园路5号
"李风华',",中国科学院声学研究所,北京市,信号与信息处理,北京市海淀区北四环西路21号
"李海',",国家海洋环境预报中心,北京市,物理海洋，海洋水文,北京海淀大慧寺八号
"李诗民',",国家海洋环境预报中心,北京市,物理海洋，海洋水文,北京海淀大慧寺八号
"李淑秋',",中国科学院声学研究所,北京市,水声工程,北京市海淀区北四环西路21号
"李燕',",国家海洋环境预报中心,北京市,三维温盐流预报,北京海淀大慧寺八号
"李宇',",中国科学院声学研究所,北京市,信号与信息处理,北京市海淀区北四环西路21号
"李泽椿',",国家气象中心,北京市,海洋化学,北京市中关村南大街46号
"李整林',",中国科学院声学研究所,北京市,水声工程,北京市海淀区北四环西路21号
"李志强',",国家海洋环境预报中心,北京市,海洋气象预报,北京海淀大慧寺八号
"林明森',",国家卫星海洋应用中心,北京市,海洋卫星及其应用,北京海淀大慧寺八号
"林鹏',",中科院理化技术研究所,北京市,低温温度测量,北京市海淀区中关村东路29号
"林涛',",北京市环保监测中心,北京市,水质检验,北京市海淀区车公庄西路14号
"林志环',",国家海洋环境预报中心,北京市,计算机网络的应用及管理,北京海淀大慧寺八号
"凌铁军',",国家海洋环境预报中心,北京市,气候数值模式应用,北京海淀大慧寺八号
